Goal,Team,Player,X,Y,Angle,Distance,F_Touch,Aerial,Open
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,107.2,41.4,0.6001903306695002,12.876334882255897,0,0,0
0,Real Madrid,Karim Benzema,106.8,49.8,0.39402049760038826,16.44019464604966,1,0,0
1,Real Madrid,Gareth Frank Bale,90.2,21.4,0.19348251583343182,35.12833614050059,0,0,0
0,Liverpool,Adam David Lallana,104.3,44.8,0.46041721085404874,16.417368851311103,0,0,0
0,Juventus,Gonzalo Gerardo Higuaín,106.0,43.0,0.535473004983765,14.317821063276355,0,0,0
0,Juventus,Gonzalo Gerardo Higuaín,92.0,31.0,0.2582198818206235,29.410882339705488,0,0,0
0,Juventus,Miralem Pjanić,98.0,45.0,0.34323599761768653,22.561028345356956,0,0,0
1,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,105.0,36.0,0.4904363247111201,15.524174696260022,1,0,0
0,Juventus,Miralem Pjanić,105.0,29.0,0.34912684282615997,18.601075237738275,0,0,0
0,Juventus,Gonzalo Gerardo Higuaín,100.0,41.0,0.3942562685010108,20.024984394500784,1,0,0
1,Juventus,Mario Mandžukić,106.0,50.0,0.3808944605837403,17.204650534085253,0,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,105.0,38.0,0.5135546912291614,15.132745950421555,1,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,112.0,35.0,0.7205190938701962,9.433981132056603,0,0,0
0,Juventus,Miralem Pjanić,97.0,43.0,0.33922780533082997,23.194827009486403,1,0,0
0,Real Madrid,Carlos Henrique Casimiro,90.0,26.0,0.21888916449496573,33.1058907144937,0,0,0
0,Real Madrid,Francisco Román Alarcón Suárez,94.0,32.0,0.28003833261378497,27.202941017470888,0,0,0
0,Real Madrid,Luka Modrić,93.0,42.0,0.2928993787036498,27.073972741361768,0,0,0
0,Real Madrid,Marcelo Vieira da Silva Júnior,103.0,54.0,0.2825263534453774,22.02271554554524,0,0,0
0,Real Madrid,Francisco Román Alarcón Suárez,99.0,48.0,0.33125527464116494,22.472205054244228,0,0,0
0,Real Madrid,Toni Kroos,103.0,51.0,0.3327091248943921,20.248456731316583,1,0,0
1,Real Madrid,Carlos Henrique Casimiro,90.0,46.0,0.2554376577179423,30.594117081556703,1,0,0
1,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,117.0,33.0,0.5199131000704225,7.615773105863908,1,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,111.0,38.0,0.8074099782914613,9.219544457292885,1,0,0
0,Real Madrid,Karim Benzema,112.0,53.0,0.2871142505845126,15.264337522473747,0,0,0
0,Real Madrid,Marcelo Vieira da Silva Júnior,97.0,47.0,0.3167186735035874,24.041630560342618,1,0,0
0,Juventus,Alex Sandro Lobo Silva,111.0,32.0,0.5096073614111942,12.041594578792294,0,0,0
1,Real Madrid,Marco Asensio Willemsen,113.0,40.0,1.0391621660044736,7.0,1,0,0
0,Real Madrid,Álvaro Borja Morata Martín,109.0,57.0,0.21997596841975348,20.248456731316583,0,0,0
0,Real Madrid,Gareth Frank Bale,93.0,51.0,0.2536789513644309,29.154759474226502,0,0,0
0,Atlético Madrid,Jorge Resurrección Merodio,108.0,28.0,0.33964690801174685,16.970562748477143,1,0,0
0,Real Madrid,Karim Benzema,115.0,39.0,1.326815406363224,5.0990195135927845,1,0,0
0,Real Madrid,Marcelo Vieira da Silva Júnior,96.0,48.0,0.2987973774383829,25.298221281347036,1,0,0
0,Real Madrid,Toni Kroos,97.0,55.0,0.24458826722096602,27.45906043549196,0,0,0
1,Real Madrid,Sergio Ramos García,117.0,40.0,1.8555594095828387,3.0,1,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,94.0,56.0,0.22351356929254912,30.528675044947494,0,0,0
0,Atlético Madrid,Juan Francisco Torres Belén,101.0,22.0,0.2236406476818952,26.172504656604797,1,0,0
0,Atlético Madrid,Antoine Griezmann,98.0,48.0,0.3198125053678351,23.40939982143925,0,0,0
0,Atlético Madrid,Antoine Griezmann,87.0,37.0,0.23955616418573647,33.13608305156178,0,0,0
0,Atlético Madrid,Antoine Griezmann,96.0,46.0,0.311960485932696,24.73863375370596,0,0,0
0,Atlético Madrid,Diego Roberto Godín Leal,115.0,35.0,0.8672698069039643,7.071067811865475,0,0,0
0,Atlético Madrid,Antoine Griezmann,113.0,40.0,1.0391621660044736,7.0,0,0,0
0,Atlético Madrid,Stefan Savić,115.0,43.0,1.1489920715656057,5.8309518948453,0,0,0
0,Real Madrid,Gareth Frank Bale,89.0,39.0,0.25664302578166753,31.016124838541646,0,0,0
0,Real Madrid,Gareth Frank Bale,114.0,32.0,0.5197470433755838,10.0,0,0,0
0,Atlético Madrid,Jorge Resurrección Merodio,104.0,17.0,0.16510819105880695,28.0178514522438,0,0,0
0,Atlético Madrid,Saúl Ñíguez Esclapez,105.0,40.0,0.5217076543289279,15.0,1,0,0
0,Atlético Madrid,Jorge Resurrección Merodio,95.0,35.0,0.3058812884730339,25.495097567963924,0,0,0
0,Real Madrid,Gareth Frank Bale,100.0,49.0,0.3317286745536421,21.93171219946131,1,0,0
0,Atlético Madrid,Saúl Ñíguez Esclapez,92.0,52.0,0.2410886190217217,30.46309242345563,0,0,0
0,Real Madrid,Karim Benzema,110.0,28.0,0.33781592178691494,15.620499351813308,0,0,0
0,Atlético Madrid,Fernando José Torres Sanz,111.0,44.0,0.7273419322751251,9.848857801796104,0,1,0
0,Atlético Madrid,Gabriel Fernández Arenas,85.0,41.0,0.2276300520378542,35.01428280002319,0,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,98.0,29.0,0.29065822446969625,24.596747752497684,0,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,111.0,40.0,0.8371982249688883,8.999999999999998,1,0,0
0,Real Madrid,Gareth Frank Bale,114.0,30.0,0.3809476144411888,11.6619037896906,0,0,0
1,Atlético Madrid,Yannick Ferreira Carrasco,115.0,42.0,1.257591801293206,5.385164807134505,1,0,0
0,Real Madrid,Gareth Frank Bale,116.0,58.0,0.09855472022544572,18.43908891458577,0,0,0
0,Real Madrid,Gareth Frank Bale,116.0,38.0,1.4475596301943408,4.47213595499958,0,0,0
0,Real Madrid,Carlos Henrique Casimiro,86.0,41.0,0.23425384181479397,34.0147027033899,0,0,0
0,Real Madrid,Gareth Frank Bale,90.0,58.0,0.19631983146748128,34.9857113690718,0,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,113.0,45.0,0.76863922661518,8.602325267042627,0,0,0
0,Real Madrid,Gareth Frank Bale,102.0,38.0,0.43283146381937837,18.110770276274827,1,0,0
0,Real Madrid,Luka Modrić,92.0,35.0,0.27557403964656374,28.442925306655784,0,0,0
0,Real Madrid,Danilo Luiz da Silva,93.0,24.0,0.21954603351185126,31.38470965295043,0,0,0
0,Atlético Madrid,Yannick Ferreira Carrasco,105.0,55.0,0.27003663939198613,21.213203435596427,0,0,0
0,Atlético Madrid,Antoine Griezmann,112.0,28.0,0.3221040977654017,14.422205101855956,1,0,0
0,Real Madrid,Carlos Henrique Casimiro,96.0,34.0,0.311960485932696,24.73863375370596,0,0,0
0,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,103.0,33.0,0.40003060437372545,18.384776310850235,0,0,0
0,Real Madrid,Lucas Vázquez Iglesias,109.0,35.0,0.5956538584509459,12.083045973594572,0,0,0
0,Real Madrid,Danilo Luiz da Silva,111.0,20.0,0.15378203821325664,21.93171219946131,0,0,0
